Abbey,ReligiousBuilding
AcademicJournal,PeriodicalLiterature
AcademicSubject,TopicalConcept
Activity,root
Actor,Artist
AdministrativeRegion,Region
AdultActor,Actor
Agent,root
Agglomeration,PopulatedPlace
Aircraft,MeanOfTransportation
Airline,Company
Airport,Infrastructure
Album,MusicalWork
Altitude,root
AmateurBoxer,Boxer
Ambassador,Person
AmericanFootballCoach,Coach
AmericanFootballLeague,SportsLeague
AmericanFootballPlayer,GridironFootballPlayer
AmericanFootballTeam,SportsTeam
Amphibian,Animal
AmusementParkAttraction,ArchitecturalStructure
AnatomicalStructure,root
Animal,Eukaryote
AnimangaCharacter,ComicsCharacter
Anime,Cartoon
Annotation,WrittenWork
Arachnid,Animal
Archaea,Species
Archeologist,Person
ArcherPlayer,Athlete
Archipelago,NaturalPlace
Architect,Person
ArchitecturalStructure,Place
Archive,CollectionOfValuables
Area,root
Arena,ArchitecturalStructure
Aristocrat,Person
Arrondissement,GovernmentalAdministrativeRegion
Artery,AnatomicalStructure
Article,WrittenWork
ArtificialSatellite,Satellite
Artist,Person
ArtistDiscography,MusicalWork
ArtisticGenre,Genre
Artwork,Work
Asteroid,CelestialBody
Astronaut,Person
Athlete,Person
Athletics,Sport
AthleticsPlayer,Athlete
Atoll,Island
Attack,SocietalEvent
AustralianFootballLeague,SportsLeague
AustralianFootballTeam,SportsTeam
AustralianRulesFootballPlayer,Athlete
AutoRacingLeague,SportsLeague
Automobile,MeanOfTransportation
AutomobileEngine,Engine
Award,root
BackScene,MusicalArtist
Bacteria,Species
BadmintonPlayer,Athlete
Band,Group
Bank,Company
Baronet,BritishRoyalty
BaseballLeague,SportsLeague
BaseballPlayer,Athlete
BaseballSeason,SportsTeamSeason
BaseballTeam,SportsTeam
BasketballLeague,SportsLeague
BasketballPlayer,Athlete
BasketballTeam,SportsTeam
Bay,BodyOfWater
Beach,NaturalPlace
BeachVolleyballPlayer,VolleyballPlayer
BeautyQueen,Person
Beer,Beverage
Beverage,Food
Biathlete,WinterSportPlayer
BiologicalDatabase,Database
Biologist,Scientist
Biomolecule,root
Bird,Animal
Birth,PersonalEvent
Blazon,root
BoardGame,Game
BobsleighAthlete,WinterSportPlayer
BodyOfWater,NaturalPlace
Bodybuilder,Athlete
Bone,AnatomicalStructure
Book,WrittenWork
BowlingLeague,SportsLeague
Boxer,Athlete
Boxing,Sport
BoxingCategory,Boxing
BoxingLeague,SportsLeague
BoxingStyle,Boxing
Brain,AnatomicalStructure
Brewery,Company
Bridge,RouteOfTransportation
BritishRoyalty,Royalty
BroadcastNetwork,Broadcaster
Broadcaster,Organisation
BrownDwarf,Star
Building,ArchitecturalStructure
BullFighter,Athlete
BusCompany,Company
BusinessPerson,Person
Camera,Device
CanadianFootballLeague,SportsLeague
CanadianFootballPlayer,GridironFootballPlayer
CanadianFootballTeam,SportsTeam
Canal,Stream
Canoeist,Athlete
Capital,City
CapitalOfRegion,City
CardGame,Game
Cardinal,Cleric
CardinalDirection,TopicalConcept
CareerStation,TimePeriod
Cartoon,Work
Case,UnitOfWork
Casino,Building
Castle,Building
Caterer,Company
Cave,NaturalPlace
Celebrity,Person
CelestialBody,Place
Cemetery,Place
Chancellor,Politician
ChartsPlacements,root
Cheese,Food
Chef,Person
ChemicalCompound,ChemicalSubstance
ChemicalElement,ChemicalSubstance
ChemicalSubstance,root
ChessPlayer,Athlete
ChristianBishop,Cleric
ChristianDoctrine,TheologicalConcept
ChristianPatriarch,Cleric
Church,ReligiousBuilding
City,Settlement
CityDistrict,Settlement
ClassicalMusicArtist,MusicalArtist
ClassicalMusicComposition,MusicalWork
Cleric,Person
ClericalAdministrativeRegion,AdministrativeRegion
ClericalOrder,ReligiousOrganisation
ClubMoss,Plant
Coach,Person
CoalPit,Mine
CollectionOfValuables,Work
College,EducationalInstitution
CollegeCoach,Coach
Colour,root
Comedian,Artist
ComedyGroup,Group
Comic,WrittenWork
ComicStrip,Comic
ComicsCharacter,FictionalCharacter
ComicsCreator,Artist
Community,PopulatedPlace
Company,Organisation
Competition,Event
ConcentrationCamp,Place
Congressman,Politician
Conifer,Plant
